store_id,store_name,store_address,store_city,store_zipcode
100719,STOP & SHOP #638,930 COLONY RD RTE 5,WALLINGFORD,6492
100732,HARKEN`S MARKET,287 S MAIN ST,EAST WINDSOR,6088
100734,PAPER STORE INC.,157 MAIN ST,DANIELSON,6239
100746,MORRIS SPIRIT SHOP,19 WEST ST,MORRIS,6763
100749,Q Mart,810 S COLONY RD,WALLINGFORD,6492
100751,NORWICH SHELL FOOD MART,168 WESTTOWN ST,NORWICH,6360
100753,YE CORNER SPIRITS,273 MAIN ST,SOUTH MERIDEN,6451
100756,C. J. GETTY MART,195 STATE ST,NORTH HAVEN,6473
100757,LIBERTY LIQUOR SHOP INC.,699 PACIFIC ST,STAMFORD,6902
100759,NORTH MADISON WINE & SPIRITS,518 OLD TOLL RD.,MADISON,6443
100761,LYNNS DELI,365 EAST MAIN ST,BRANFORD,6405
100762,CITY PLACE NEWS,185 ASYLUM ST,HARTFORD,6103
100770,COMPARE FOOD,1050 E MAIN ST,BRIDGEPORT,6608
100771,SHORE MART,30 EAST BROADWAY,MILFORD,6460
100778,CICERO`S CONVENIENCE,446 BLOOMFIELD AVE,WINDSOR,6095
100779,RESCO BROS FAIRMART DRUG,2264 BLACK ROCK TPKE,FAIRFIELD,6430
100780,YOO`S SHELL FOOD MART,1375 NEW HAVEN AVENUE,MILFORD,6460
100781,CHEERS,249 WEST HIGH ST,EAST HAMPTON,6424
100782,GERMAN`S PACKAGE STORE,175 BOSTON POST RD.,MILFORD,6460
100783,EAST VILLAGE LIQUORS,206 LEAVENWORTH RD.,SHELTON,6484
100795,JIMMY`S MEDITERRANEAN DELI,65 VAN ZANT ST,EAST NORWALK,6855
100797,CAPITOL SHELL FOOD MART INC,335 CAPITOL AVE,HARTFORD,6106
100803,DAIRY FARMS #19,68 BERLIN ST,SOUTHINGTON,6489
100808,INTERNATIONAL PACKAGE STORE LLC,199 LEBANON RD,COLCHESTER,6415
100810,WESTFIELD SPIRIT SHOPPE,612 East St,MIDDLETOWN,6457
100812,PLATT GROCERS,52 PLATT ST,ANSONIA,6401
100813,COUNTRY MARKETPLACE LLC,1224-1226 OLD COLCHESTER RD,OAKDALE,6370
100814,7-ELEVEN FOOD STORE 14866H,161 OAKWOOD AVENUE,WEST HARTFORD,6107
100820,HANCOCK`S PHARMACY INC.,840 EAST MAIN ST,MERIDEN,6450
100830,SUBURBAN PHARMACY,344 N MAIN ST,WEST HARTFORD,6117
100831,BROWN ST LIQUORS,486 MAIN ST,EAST HARTFORD,6118
100832,DANS SHELL OF WEST HTFD INC,456 NEW PARK AVE,ELMWOOD,6110
100838,FAIRFIELD WOODS MOBIL,2120 BLACK ROCK TPKE,FAIRFIELD,6430
100839,SUPE-R-MART,ROUTES 16 & 149,COLCHESTER,6415
100841,SILHOUETTE OF BEAUTY,85 JEFFERSON ST,HARTFORD,6106
100842,CHUCKY`S NORTH STONINGTON,29 MAIN ST,NORTH STONINGTON,6359
100843,JACK`S SELF SERVE MOBIL,1913 DIXWELL AVE,HAMDEN,6514
100844,HICKEY`S DELICATESSEN,173 E MAIN ST,MIDDLETOWN,6457
100846,CEDAR CORNERS STORE,932 HIGH RIDGE RD,STAMFORD,6905
100849,JOHNS DELI INC,45 PEARL ST,SEYMOUR,6483
100853,BUCKS CORNER SPIRIT SHOPPE,2249 NEW LONDON TURNPIKE,SO. GLASTONBURY,6073
100856,ANSONIA XTRA MART,180 WAKELEE AVENUE,ANSONIA,6401
100858,WIHBEY`S MARKET,195 FROST RD.,WATERBURY,6705
100864,ROSETTE WINE & LIQUOR,192 ROSETTE ST,NEW HAVEN,6519
100868,JOE`S VARIETY,89 CENTER ST,SHELTON,6484
100869,BARB`S VARIETY STORE,127 EAST MAIN ST,THOMASTON,6787
100870,CUMBERLAND FARMS #4690,1588 WATERTOWN AVE,WATERBURY,6708
100872,EAST SIDE VARIETY,100 LOCKWOOD AVE,STAMFORD,6902
100878,A & P LIQUORS #121,113-121 BOSTON POST RD,WATERFORD,6385
100880,CUMBERLAND FARMS #4658,136 MAIN ST,NORWALK,6851
100882,SOUNDVIEW VARIETY STORE,23 SOUNDVIEW AVE,NORWALK,6854
100884,BROOKSIDE PACKAGE STORE,123A MAIN ST,EAST WINDSOR,6088
100885,SHIPPAN CANDIES INC.,30 STATION PL,STAMFORD,6901
100886,CONVENIENCE PLUS,215 BRIDGEPORT AVE,SHELTON,6484
100896,COBB`S MOBIL,273 SAWMILL RD,WEST HAVEN,6516
100897,EAST ROCK PACKAGE STORE,1936 STATE ST,HAMDEN,6517
100899,CUMBERLAND FARMS #4709,464 RIVER RD,SHELTON,6484
100900,STOP & SHOP #671,760 VILLA AVE,FAIRFIELD,6430
100902,CUMBERLAND FARMS #4704,819 RIVER RD,SHELTON,6484
100903,STOP & SHOP #604,727 RUBBER AVE MT VIEW,NAUGATUCK,6770
100905,BP Mart,241 KIMBERLY AVE,NEW HAVEN,6519
100906,CUMBERLAND FARMS #4668,527 N MAIN & WOODBINE AVE,NAUGATUCK,6770
100910,FRIENDLY SERVICE  #50,27-29 TAMARACK AVE,DANBURY,6810
100911,VOLUNTOWN LIQUOR STORE,ROUTE 138 MAIN ST,VOLUNTOWN,6384
100916,CUMBERLAND FARMS #4708,69 RUBBER AVE,NAUGATUCK,6770
100924,BLOOMFIELD MARKET,1055 BLUE HILLS AVE,BLOOMFIELD,6002
100927,D`APRILE PACKAGE STORE LLC,288 FRANKLIN AVE,HARTFORD,6114
100930,CUMBERLAND FARMS #4716,5 PERSHING DR,ANSONIA,6401
100933,TRADING POST PACKAGE,RTE 81,HIGGANUM,6441
100936,CUMBERLAND FARMS #4555,207 S MAIN ST,TORRINGTON,6790
100937,CUMBERLAND FARMS #4624,705 MIGEON AVE,TORRINGTON,6790
100939,CUMBERLAND FARMS #4651,109 MAIN ST,WINSTED,6098
100940,WALDBAUM`S FOOD MART #353,TOWN LINE.RD,ROCKY HILL,6067
100941,STOP & SHOP #602,136 SAMSON ROCK DR,MADISON,6443
100942,BIG Y WORLD CLASS MKT #17,87 W STAFFORD RD (RTE 190),STAFFORD SPRINGS,6076
100943,STOP & SHOP #687,22 LEETES ISLAND RD,BRANFORD,6405
100946,WILLIMANTIC XTRA MART,1071 MAIN ST,WILLIMANTIC,6226
100951,SUNOCO FOOD MARKET,188 PENNSYLVANIA AVE,NIANTIC,6357
100952,VINEYARD PACKAGE STORE,337 NEW HAVEN AVE,MILFORD,6460
100955,CUMBERLAND FARMS #4659,64 BROAD ST,PLAINVILLE,6062
100956,STOP & SHOP #610,1380 BERLIN Tpke,WETHERSFIELD,6109
100958,DAIRY PLUS,772 FARMINGTON AVENUE,WEST HARTFORD,6119
100959,MR. P`S  WINE & LIQUORS,231 FLANDERS RD,NIANTIC,6357
100963,ARESCO`S SUPERETTE,238 GRAVEL ST,MERIDEN,6450
100966,CUMBERLAND FARMS #4573,291 SPIELMAN HIGHWAY,BURLINGTON,6013
100969,CUMBERLAND FARMS #4642,909 QUEEN ST,SOUTHINGTON,6489
100970,HAMILTON AVE LIQUORS,816 HAMILTON AVE,WATERBURY,6706
100977,STOP & SHOP #655,657 FARMINGTON AVE,BRISTOL,6010
100979,DAN`S SHELL OF NEW BRITAIN,345 COLUMBUS BLVD,NEW BRITAIN,6051
100980,M & M DISCOUNT WINES & LIQUOR,22 CHAMBERLAIN HWY,KENSINGTON,6037
100987,LIQUOR CENTER,238 EAST AVE,EAST NORWALK,6855
100988,YELLOW FRONT PACKAGE STORE,177 COLMAN ST,NEW LONDON,6320
100990,CUMBERLAND FARMS #4687,1087 Old Colony Rd,MERIDEN,6450
100992,YOUR STORE,137 KELSEY ST,NEWINGTON,6111
100993,JOHNNY`S PACKAGE STORE,37 MILL ST,KENSINGTON,6037
101000,CUMBERLAND FARMS 4576,1215 Boston Post Rd,WESTBROOK,6498
101003,A & J MINI MART,912 EAST MAIN ST,STAMFORD,6902
101004,MC LIQUOR INC,250 MERIDEN RD.,WATERBURY,6702
101007,MOUNTAIN SPIRITS LIQUOR,20 John Curtiss Rd,NORFOLK,6058
101008,TOPS MARKET,887 MERIDEN WATERBURY RD,PLANTSVILLE,6479
101009,GILDERSLEEVE SPIRIT SHOP,644 MAIN ST,PORTLAND,6480
101013,LABONNE`S EPICURE OF WOODBURY,238 MAIN ST S,WOODBURY,6798
101014,FETTERS PACKAGE STORE,119 SHORE RD.,OLD LYME,6371
101015,RON`S SPIRIT SHOPPE,347 KENNEDY DRIVE,PUTNAM,6260
101019,CUMBERLAND FARMS #4699,859 RIVERSIDE RD,N GROSVENOR DALE,6255
101021,COLONIAL IGA ESSEX,125 WESTBROOK RD,ESSEX,6426
